"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"87","Case Keenum","QB","DEN",279,13.7,3.28,259,296,3.28,9.03,-11.2,87,77,116,23,"6",177,2.45,63
"88","Chris Hogan","WR","NE",191,17.7,0.252,162,211,2.45,-5.02,-4.58,88,101,107,26,"7",61.6,8.88,39
"89","Robert Woods","WR","LAR",191,17.6,1.42,169,214,2.2,2.3,-0.963,89,90,95,27,"7",89.3,4.22,45
"90","Jamaal Williams","RB","GB",162,27.7,1.52,134,208,1.52,2.29,17.2,90,91,65,29,"11",87.3,3.86,77
"91","Pierre Garcon","WR","SF",190,14.7,0.72,175,212,0.782,8.41,-2.86,91,81,103,28,"7",96.4,2.79,32
"92","Jamison Crowder","WR","WAS",189,17.9,0.0617,165,213,0.0617,-1.94,-2.35,92,98,101,29,"7",101,2.94,41
"93","Eli Manning","QB","NYG",276,14.5,0.52,250,288,0,0,-18.8,93,93,132,24,"6",168,2.37,51
"94","Tarik Cohen","RB","CHI",161,20.1,3.66,136,189,0,4.19,-1.82,93,87,98,30,"11",101,3.22,48
"95","Corey Davis","WR","TEN",189,18.4,1.66,166,216,0,-0.82,1.06,93,94,89,30,"7",76.4,5.63,49
"96","George Kittle","TE","SF",137,13.6,4.77,122,157,0,0,-3.81,93,93,106,12,"6",133,1.65,17
"97","Ryan Tannehill","QB","MIA",275,19.4,7.43,245,295,-0.52,-5.58,-11.5,94,103,119,25,"7",250,1.76,29
"98","Robby Anderson","WR","NYJ",187,10.6,1.38,175,205,-1.66,8.32,-10.4,95,83,113,31,"7",97.5,3.08,20
"99","Emmanuel Sanders","WR","DEN",186,18.6,0.346,163,215,-3.04,-3.27,0.21,96,99,92,32,"7",79.7,5.45,42
"100","Devin Funchess","WR","CAR",186,20.8,2.48,160,219,-3.38,-7.01,3.96,97,104,87,33,"7",94.9,3.48,56
